"INDICATOR","ENHIS_21"

"ENHIS_21","Percentages of physically active children among 15-year-olds"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"ENHIS","Environment and Health"

"UNIT_TYPE","Unit"
"PERCENT","%"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"ENHIS","Environment and Health Information System (ENHIS)"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","SEX","YEAR","VALUE"
"LUX","FEMALE","2005","11"
"MKD","MALE","2009","22.1"
"MKD","FEMALE","2009","13"
"MKD","MALE","2005","21"
"MKD","FEMALE","2005","11"
"MLT","MALE","2005","19"
"MLT","FEMALE","2005","13"
"NLD","MALE","2009","18.7"
"NLD","FEMALE","2009","13.4"
"NLD","MALE","2005","18"
"NLD","FEMALE","2005","15"
"NOR","MALE","2009","12.4"
"NOR","FEMALE","2009","8.6"
"NOR","MALE","2005","13"
"NOR","FEMALE","2005","7"
"POL","MALE","2009","23"
"POL","FEMALE","2009","9.9"
"POL","MALE","2005","21"
"POL","FEMALE","2005","10"
"PRT","MALE","2009","13.6"
"PRT","FEMALE","2009","5.9"
"PRT","MALE","2005","15"
"PRT","FEMALE","2005","5"
"ROU","MALE","2009","16.2"
"ROU","FEMALE","2009","7.2"
"ROU","MALE","2005","16"
"ROU","FEMALE","2005","6"
"RUS","MALE","2009","13.3"
"RUS","FEMALE","2009","6.6"
"RUS","MALE","2005","12"
"RUS","FEMALE","2005","7"
"SVK","MALE","2009","26.8"
"SVK","FEMALE","2009","12"
"SVK","MALE","2005","46"
"SVK","FEMALE","2005","29"
"SVN","MALE","2009","20.4"
"SVN","FEMALE","2009","10.4"
"SVN","MALE","2005","19"
"SVN","FEMALE","2005","9"
"ESP","MALE","2009","25.2"
"ESP","FEMALE","2009","8.3"
"ESP","MALE","2005","19"
"ESP","FEMALE","2005","12"
"SWE","MALE","2009","13.2"
"SWE","FEMALE","2009","8.9"
"SWE","MALE","2005","11"
"SWE","FEMALE","2005","10"
"CHE","MALE","2009","11.9"
"CHE","FEMALE","2009","6.3"
"CHE","MALE","2005","13"
"CHE","FEMALE","2005","10"
"TUR","MALE","2009","17.5"
"TUR","FEMALE","2009","8.8"
"TUR","MALE","2005","16"
"TUR","FEMALE","2005","12"
"UKR","MALE","2009","24.4"
"UKR","FEMALE","2009","8.5"
"UKR","MALE","2005","21"
"UKR","FEMALE","2005","11"
"GB-ENG","MALE","2009","24.9"
"GB-ENG","FEMALE","2009","12.2"
"GB-ENG","MALE","2005","18"
"GB-ENG","FEMALE","2005","9"
"GB-SCT","MALE","2009","13.3"
"GB-SCT","FEMALE","2009","7.6"
"GB-SCT","MALE","2005","21"
"GB-SCT","FEMALE","2005","9"
"GB-WLS","MALE","2009","20.5"
"GB-WLS","FEMALE","2009","8.5"
"GB-WLS","MALE","2005","21"
"GB-WLS","FEMALE","2005","9"

"Last update","2022.12.05 12:03:06 GMT"
"Description","Percentages of physically active children among 15-year-olds"
"Reference link","https://dw.euro.who.int/api/v3/measures/ENHIS_21?lang=En"

"Copyright"
"© WHO Regional Office for Europe 2025. All rights reserved.","https://www.who.int/about/policies/publishing/copyright"
